data-index,individual_item_price,individual_item_rating,individual_item_original_price,Title,imageURL
0,None,4.5 out of 5 stars.,None,,"https://m.media-amazon.com/images/S/al-eu-726f4d26-7fdb/d46c3bdc-672a-413f-934c-e669c5890254._CR0,0,3840,2160_AC_SX130_SY60_QL70_.png"
data-index,individual_item_price,individual_item_rating,individual_item_original_price,Title,imageURL
1,None,None,None,None,None
data-index,individual_item_price,individual_item_rating,individual_item_original_price,Title,imageURL
2,"6,999",4.0 out of 5 stars,"₹6,999","Sponsored Ad - AmazonBasics 21.5-Inch (54.5cm) Monitor, Full HD (1080p),75 Hz Refresh Rate, 5ms Response Time, 8-Bit (16.7...",https://m.media-amazon.com/images/I/91Mjsd471NL._AC_UY218_.jpg
data-index,individual_item_price,individual_item_rating,individual_item_original_price,Title,imageURL
3,"6,249",4.6 out of 5 stars,"₹6,249","Sponsored Ad - ViewSonic VA2215-H Full HD 1080p 22 Inch LED Backlit Display Gaming Monitor, AMD FreeSync™ 75Hz, SuperClea...",https://m.media-amazon.com/images/I/41pcrAXusKL._AC_UY218_.jpg
data-index,individual_item_price,individual_item_rating,individual_item_original_price,Title,imageURL
4,"6,299",4.2 out of 5 stars,"₹6,299","Acer EK220Q 21.5 Inch (54.61 cm) Full HD (1920x1080) VA Panel LCD Monitor with LED Back Light I 250 Nits I HDMI, VGA Ports...",https://m.media-amazon.com/images/I/8150iUXkc5L._AC_UY218_.jpg
data-index,individual_item_price,individual_item_rating,individual_item_original_price,Title,imageURL
5,"10,099",4.3 out of 5 stars,"₹10,099","Samsung 24-inch(60.46cm) FHD Monitor, IPS, 75 Hz, Bezel Less Design, AMD FreeSync, Flicker Free, HDMI, D-sub, (LF24T350FHW...",https://m.media-amazon.com/images/I/81TjRLHaz1L._AC_UY218_.jpg
data-index,individual_item_price,individual_item_rating,individual_item_original_price,Title,imageURL
6,"4,700",3.6 out of 5 stars,"₹4,700","ZEBRONICS Zeb-V19Hd 18.5 Inch (46.99 Cm) Led Monitor with Supporting Hdmi, Vga Input, Hd 1366 X 768 Pixels, 16.7M Colors, ...",https://m.media-amazon.com/images/I/815UZPn8WUL._AC_UY218_.jpg
data-index,individual_item_price,individual_item_rating,individual_item_original_price,Title,imageURL
7,"12,398",4.4 out of 5 stars,"₹12,398",,https://aax-eu.amazon.in/e/loi/imp?b=JMNmUmQXRjLjtuAWdyUM_sMAAAGFYUfYrAMAAAH2AQBOL0EgICAgICAgICAgICBOL0EgICAgICAgICAgICDXRfoQ
data-index,individual_item_price,individual_item_rating,individual_item_original_price,Title,imageURL
8,None,None,None,None,None
data-index,individual_item_price,individual_item_rating,individual_item_original_price,Title,imageURL
9,None,3.9 out of 5 stars,None,"ZEBRONICS AC32FHD LED Curved 75Hz 80cm (32"") 1920x1080 FHD Resolution Monitor with HDMI + VGA Dual Input, Built-in Speake...",https://m.media-amazon.com/images/I/813Y1TIZwfL._AC_UY218_.jpg
